"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.09359598159790039)","('a', 'DOWN', 0.11090803146362305)","('a', 'UP', 0.21981501579284668)","('s', 'DOWN', 0.2992899417877197)","('s', 'UP', 0.3622128963470459)","('s', 'DOWN', 0.44110703468322754)","('s', 'UP', 0.5170798301696777)","('W', 'DOWN', 0.7100858688354492)","('W', 'UP', 0.7870869636535645)","('0', 'DOWN', 0.9076230525970459)","('0', 'UP', 0.9639530181884766)","('r', 'DOWN', 1.0133378505706787)","('r', 'UP', 1.0773169994354248)","('d', 'DOWN', 1.1580438613891602)","('d', 'UP', 1.2440099716186523)","('!', 'DOWN', 1.394146203994751)","('!', 'UP', 1.477104902267456)"
"('p', 'DOWN', 2.86102294921875e-06)","('p', 'UP', 0.08354997634887695)","('a', 'DOWN', 0.09764575958251953)","('a', 'UP', 0.18489384651184082)","('s', 'DOWN', 0.28565502166748047)","('s', 'UP', 0.3353848457336426)","('s', 'DOWN', 0.3985428810119629)","('s', 'UP', 0.4862101078033447)","('W', 'DOWN', 0.5987529754638672)","('W', 'UP', 0.7106068134307861)","('0', 'DOWN', 0.9933550357818604)","('0', 'UP', 1.0676259994506836)","('r', 'DOWN', 1.1239750385284424)","('r', 'UP', 1.1922528743743896)","('d', 'DOWN', 1.26430082321167)","('d', 'UP', 1.3403651714324951)","('!', 'DOWN', 1.487051010131836)","('!', 'UP', 1.5861339569091797)"
"('p', 'DOWN', 1.9073486328125e-06)","('p', 'UP', 0.06713199615478516)","('a', 'DOWN', 0.09023690223693848)","('a', 'UP', 0.1836700439453125)","('s', 'DOWN', 0.3244791030883789)","('s', 'UP', 0.37775492668151855)","('s', 'DOWN', 0.44399094581604004)","('s', 'UP', 0.5594069957733154)","('W', 'DOWN', 0.8551449775695801)","('W', 'UP', 0.9235448837280273)","('0', 'DOWN', 1.0515270233154297)","('0', 'UP', 1.1198060512542725)","('r', 'DOWN', 1.1557469367980957)","('r', 'UP', 1.2278339862823486)","('d', 'DOWN', 1.2960989475250244)","('d', 'UP', 1.38639497756958)","('!', 'DOWN', 1.546375036239624)","('!', 'UP', 1.6343598365783691)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.07933688163757324)","('a', 'DOWN', 0.10323476791381836)","('a', 'UP', 0.19173192977905273)","('s', 'DOWN', 0.3190019130706787)","('s', 'UP', 0.37467288970947266)","('s', 'DOWN', 0.4501008987426758)","('s', 'UP', 0.5338361263275146)","('W', 'DOWN', 0.7149109840393066)","('W', 'UP', 0.785956859588623)","('0', 'DOWN', 0.918874979019165)","('0', 'UP', 0.9893929958343506)","('r', 'DOWN', 1.0234029293060303)","('r', 'UP', 1.091822862625122)","('d', 'DOWN', 1.1708989143371582)","('d', 'UP', 1.2522740364074707)","('!', 'DOWN', 1.404228925704956)","('!', 'UP', 1.512549877166748)"
"('p', 'DOWN', 3.814697265625e-06)","('p', 'UP', 0.0873570442199707)","('a', 'DOWN', 0.10290002822875977)","('a', 'UP', 0.18230581283569336)","('s', 'DOWN', 0.3337109088897705)","('s', 'UP', 0.3884267807006836)","('s', 'DOWN', 0.4645419120788574)","('s', 'UP', 0.5597329139709473)","('W', 'DOWN', 0.9323968887329102)","('W', 'UP', 1.0409910678863525)","('0', 'DOWN', 1.185898780822754)","('0', 'UP', 1.2501640319824219)","('r', 'DOWN', 1.2838060855865479)","('r', 'UP', 1.3435118198394775)","('d', 'DOWN', 1.4286198616027832)","('d', 'UP', 1.5200238227844238)","('!', 'DOWN', 1.6975479125976562)","('!', 'UP', 1.7814269065856934)"
"('p', 'DOWN', 4.0531158447265625e-06)","('p', 'UP', 0.06624102592468262)","('a', 'DOWN', 0.10440182685852051)","('a', 'UP', 0.20456194877624512)","('s', 'DOWN', 0.3118720054626465)","('s', 'UP', 0.37119197845458984)","('s', 'DOWN', 0.4558999538421631)","('s', 'UP', 0.5351171493530273)","('W', 'DOWN', 0.7331898212432861)","('W', 'UP', 0.8257601261138916)","('0', 'DOWN', 0.9407780170440674)","('0', 'UP', 1.0124621391296387)","('r', 'DOWN', 1.0536720752716064)","('r', 'UP', 1.121326208114624)","('d', 'DOWN', 1.1990249156951904)","('d', 'UP', 1.29960298538208)","('!', 'DOWN', 1.4938039779663086)","('!', 'UP', 1.59049391746521)"
"('p', 'DOWN', 2.1457672119140625e-06)","('p', 'UP', 0.10068106651306152)","('a', 'DOWN', 0.11822700500488281)","('a', 'UP', 0.19417500495910645)","('s', 'DOWN', 0.315885066986084)","('s', 'UP', 0.37030625343322754)","('s', 'DOWN', 0.43615293502807617)","('s', 'UP', 0.5248861312866211)","('W', 'DOWN', 0.664996862411499)","('W', 'UP', 0.7400779724121094)","('0', 'DOWN', 0.8699460029602051)","('0', 'UP', 0.9455282688140869)","('r', 'DOWN', 0.9862990379333496)","('r', 'UP', 1.0417850017547607)","('d', 'DOWN', 1.126857042312622)","('d', 'UP', 1.210658073425293)","('!', 'DOWN', 1.3791260719299316)","('!', 'UP', 1.4581530094146729)"
"('p', 'DOWN', 1.0967254638671875e-05)","('p', 'UP', 0.07207965850830078)","('a', 'DOWN', 0.1460268497467041)","('a', 'UP', 0.22586679458618164)","('s', 'DOWN', 0.35363078117370605)","('s', 'UP', 0.40505075454711914)","('s', 'DOWN', 0.4851267337799072)","('s', 'UP', 0.5816018581390381)","('W', 'DOWN', 0.7845969200134277)","('W', 'UP', 0.8606328964233398)","('0', 'DOWN', 1.0065739154815674)","('0', 'UP', 1.0863888263702393)","('r', 'DOWN', 1.130950689315796)","('r', 'UP', 1.1948857307434082)","('d', 'DOWN', 1.2684080600738525)","('d', 'UP', 1.3526058197021484)","('!', 'DOWN', 1.5494229793548584)","('!', 'UP', 1.6367087364196777)"
"('p', 'DOWN', 3.0994415283203125e-06)","('p', 'UP', 0.06476593017578125)","('a', 'DOWN', 0.08290481567382812)","('a', 'UP', 0.17131900787353516)","('s', 'DOWN', 0.3151249885559082)","('s', 'UP', 0.36669397354125977)","('s', 'DOWN', 0.43798303604125977)","('s', 'UP', 0.5301809310913086)","('W', 'DOWN', 0.8796360492706299)","('W', 'UP', 1.0080859661102295)","('0', 'DOWN', 1.1823108196258545)","('0', 'UP', 1.257340908050537)","('r', 'DOWN', 1.3081669807434082)","('r', 'UP', 1.372081995010376)","('d', 'DOWN', 1.4551150798797607)","('d', 'UP', 1.566917896270752)","('!', 'DOWN', 1.899967908859253)","('!', 'UP', 1.995055913925171)"
"('p', 'DOWN', 2.86102294921875e-06)","('p', 'UP', 0.0717921257019043)","('a', 'DOWN', 0.1474747657775879)","('a', 'UP', 0.22670292854309082)","('s', 'DOWN', 0.3511977195739746)","('s', 'UP', 0.39955878257751465)","('s', 'DOWN', 0.49035191535949707)","('s', 'UP', 0.5697188377380371)","('W', 'DOWN', 0.7155838012695312)","('W', 'UP', 0.7921168804168701)","('0', 'DOWN', 0.9114317893981934)","('0', 'UP', 0.982144832611084)","('r', 'DOWN', 1.0321340560913086)","('r', 'UP', 1.092235803604126)","('d', 'DOWN', 1.1683847904205322)","('d', 'UP', 1.2633788585662842)","('!', 'DOWN', 1.4545650482177734)","('!', 'UP', 1.542423963546753)"
